,model1_fc1,model1_fc2,model2_fc1,model2_fc2,model2_wa1,model2_wa2
132,40148.6171875,746.8292236328125,40148.08203125,746.87060546875,40835.1953125,767.4771118164062
133,40374.62109375,755.0377197265625,40433.50390625,749.540283203125,40425.296875,757.5308837890625
134,40569.03125,762.5848999023438,40426.7578125,751.867919921875,40423.828125,754.0584716796875
135,40670.2578125,765.185302734375,40426.5078125,753.279541015625,40426.265625,753.2906494140625
136,40729.96484375,766.028564453125,40427.1875,753.92919921875,40427.84375,753.8237915039062
137,40835.1953125,767.4771118164062,40429.4921875,754.9044189453125,40429.8984375,754.8917846679688
138,40429.8984375,754.8917846679688,40429.4921875,754.9044189453125,41209.9921875,774.7244873046875
139,40695.84375,762.869384765625,40743.01171875,757.1077880859375,40746.5,765.2906494140625
140,40927.0625,770.3153686523438,40741.84375,759.879150390625,40738.1953125,761.769775390625
141,41062.40234375,772.7052001953125,40740.59375,760.8890380859375,40740.46875,761.0655517578125
142,41124.59375,773.1077880859375,40741.1875,761.5812377929688,40741.80859375,761.492919921875
143,41209.9921875,774.7244873046875,40743.7421875,762.4913330078125,40743.5546875,762.5279541015625
144,40743.5546875,762.5279541015625,40743.7421875,762.4913330078125,41468.53515625,781.67822265625
145,40989.5859375,769.7073974609375,41043.0546875,764.578369140625,41035.578125,772.0794067382812
